Entity,Code,Year,respiratory_infections
Afghanistan,AFG,2017,21431.16382
Albania,ALB,2017,381.6531384
Algeria,DZA,2017,4723.762257
American Samoa,ASM,2017,13.79903253
Andorra,AND,2017,30.98006831
Angola,AGO,2017,14508.40499
Antigua and Barbuda,ATG,2017,32.54382881
Argentina,ARG,2017,31058.14225
Armenia,ARM,2017,500.8640669
Australia,AUS,2017,4451.177815
Austria,AUT,2017,961.0659346
Azerbaijan,AZE,2017,3054.883143
Bahamas,BHS,2017,104.9211209
Bahrain,BHR,2017,95.06374965
Bangladesh,BGD,2017,38521.32307
Barbados,BRB,2017,182.9654494
Belarus,BLR,2017,1174.547706
Belgium,BEL,2017,5669.182269
Belize,BLZ,2017,110.5187745
Benin,BEN,2017,7564.605384
Bermuda,BMU,2017,16.74332921
Bhutan,BTN,2017,179.7310625
Bolivia,BOL,2017,5359.620645
Bosnia and Herzegovina,BIH,2017,359.5947921
Botswana,BWA,2017,767.6998355
Brazil,BRA,2017,84073.16191
Brunei,BRN,2017,91.37922137
Bulgaria,BGR,2017,1548.602005
Burkina Faso,BFA,2017,19168.26736
Burundi,BDI,2017,7406.638706
Cambodia,KHM,2017,9865.9566
Cameroon,CMR,2017,16148.39842
Canada,CAN,2017,9047.951619
Cape Verde,CPV,2017,233.6236915
Central African Republic,CAF,2017,5021.424595
Chad,TCD,2017,19421.1496
Chile,CHL,2017,4588.013154
China,CHN,2017,179389.9027
Colombia,COL,2017,7850.556622
Comoros,COM,2017,383.6670929
Congo,COG,2017,2308.00894
Costa Rica,CRI,2017,521.0686223
Cote d'Ivoire,CIV,2017,16655.2343
Croatia,HRV,2017,562.0872599
Cuba,CUB,2017,5678.313884
Cyprus,CYP,2017,177.3907916
Czech Republic,CZE,2017,3222.480544
Democratic Republic of Congo,COD,2017,58587.28432
Denmark,DNK,2017,2376.916738
Djibouti,DJI,2017,457.5882394
Dominica,DMA,2017,31.65289204
Dominican Republic,DOM,2017,2344.928247
Ecuador,ECU,2017,5149.096206
Egypt,EGY,2017,23097.09926
El Salvador,SLV,2017,2525.661422
Equatorial Guinea,GNQ,2017,369.1026389
Eritrea,ERI,2017,3737.066299
Estonia,EST,2017,216.7496843
Ethiopia,ETH,2017,47564.01103
Fiji,FJI,2017,312.0492296
Finland,FIN,2017,713.2655399
France,FRA,2017,20732.38891
Gabon,GAB,2017,755.6487074
Gambia,GMB,2017,1235.327275
Georgia,GEO,2017,766.6589363
Germany,DEU,2017,25236.76791
Ghana,GHA,2017,17760.55377
Greece,GRC,2017,4268.945592
Greenland,GRL,2017,13.76292444
Grenada,GRD,2017,83.26470086
Guam,GUM,2017,50.73247045
Guatemala,GTM,2017,9695.463076
Guinea,GIN,2017,12032.99244
Guinea-Bissau,GNB,2017,1149.217842
Guyana,GUY,2017,248.487717
Haiti,HTI,2017,6003.045545
Honduras,HND,2017,967.3656154
Hungary,HUN,2017,1016.143032
Iceland,ISL,2017,95.1063824
India,IND,2017,507363.6534
Indonesia,IDN,2017,43764.32339
Iran,IRN,2017,9314.907148
Iraq,IRQ,2017,3628.440775
Ireland,IRL,2017,1371.932621
Israel,ISR,2017,2275.921656
Italy,ITA,2017,13166.67675
Jamaica,JAM,2017,503.233041
Japan,JPN,2017,109534.1081
Jordan,JOR,2017,1013.625084
Kazakhstan,KAZ,2017,3623.798859
Kenya,KEN,2017,23268.42187
Kiribati,KIR,2017,40.92385015
Kuwait,KWT,2017,572.9302477
Kyrgyzstan,KGZ,2017,853.8695711
Laos,LAO,2017,3755.902443
Latvia,LVA,2017,379.3643099
Lebanon,LBN,2017,739.1375688
Lesotho,LSO,2017,1573.242437
Liberia,LBR,2017,2316.948388
Libya,LBY,2017,842.0966771
Lithuania,LTU,2017,704.4385428
Luxembourg,LUX,2017,146.2916197
Macedonia,MKD,2017,146.9990942
Madagascar,MDG,2017,19853.57786
Malawi,MWI,2017,9425.692487
Malaysia,MYS,2017,23692.31985
Maldives,MDV,2017,27.8191658
Mali,MLI,2017,11585.84386
Malta,MLT,2017,173.360292
Marshall Islands,MHL,2017,20.25206689
Mauritania,MRT,2017,1894.866523
Mauritius,MUS,2017,307.0365833
Mexico,MEX,2017,21838.35585
Micronesia (country),FSM,2017,31.50835749
Moldova,MDA,2017,949.1318923
Mongolia,MNG,2017,660.1587663
Montenegro,MNE,2017,67.74575032
Morocco,MAR,2017,5845.59128
Mozambique,MOZ,2017,13894.9753
Myanmar,MMR,2017,22581.63803
Namibia,NAM,2017,1148.078906
Nepal,NPL,2017,9297.130361
Netherlands,NLD,2017,6178.480383
New Zealand,NZL,2017,727.9379142
Nicaragua,NIC,2017,848.9483069
Niger,NER,2017,19709.96318
Nigeria,NGA,2017,189929.6936
North Korea,PRK,2017,5689.021082
Northern Mariana Islands,MNP,2017,11.04914349
Norway,NOR,2017,1840.085865
Oman,OMN,2017,404.3007237
Pakistan,PAK,2017,59440.46255
Palestine,PSE,2017,515.3590877
Panama,PAN,2017,896.6116338
Papua New Guinea,PNG,2017,5470.893765
Paraguay,PRY,2017,1361.032838
Peru,PER,2017,16638.3087
Philippines,PHL,2017,68012.79894
Poland,POL,2017,11095.50652
Portugal,PRT,2017,7160.499909
Puerto Rico,PRI,2017,1609.671547
Qatar,QAT,2017,90.76900474
Romania,ROU,2017,6206.580646
Russia,RUS,2017,35492.71417
Rwanda,RWA,2017,6441.017997
Saint Lucia,LCA,2017,56.9328374
Saint Vincent and the Grenadines,VCT,2017,45.27700599
Samoa,WSM,2017,52.59585386
Sao Tome and Principe,STP,2017,118.4139482
Saudi Arabia,SAU,2017,3505.026749
Senegal,SEN,2017,7727.294366
Serbia,SRB,2017,1512.247702
Seychelles,SYC,2017,72.86997215
Sierra Leone,SLE,2017,7169.560562
Singapore,SGP,2017,2695.759584
Slovakia,SVK,2017,1679.952717
Slovenia,SVN,2017,601.4200232
Solomon Islands,SLB,2017,461.9585316
Somalia,SOM,2017,13032.58645
South Africa,ZAF,2017,26529.31206
South Korea,KOR,2017,13443.51203
South Sudan,SSD,2017,12069.9902
Spain,ESP,2017,12940.79783
Sri Lanka,LKA,2017,4985.5897
Sudan,SDN,2017,9402.255232
Suriname,SUR,2017,181.526843
Swaziland,SWZ,2017,674.4198036
Sweden,SWE,2017,2902.619319
Switzerland,CHE,2017,1696.579703
Syria,SYR,2017,1945.950991
Taiwan,TWN,2017,13114.76359
Tajikistan,TJK,2017,4901.968215
Tanzania,TZA,2017,33485.51924
Thailand,THA,2017,36187.5784
Timor,TLS,2017,479.3209313
Togo,TGO,2017,3741.703844
Tonga,TON,2017,37.10064747
Trinidad and Tobago,TTO,2017,313.6417792
Tunisia,TUN,2017,1650.136675
Turkey,TUR,2017,11029.39696
Turkmenistan,TKM,2017,1205.790928
Uganda,UGA,2017,14830.62302
Ukraine,UKR,2017,9215.055512
United Arab Emirates,ARE,2017,585.7143479
United Kingdom,GBR,2017,36951.8554
United States,USA,2017,93791.66067
United States Virgin Islands,VIR,2017,32.22621674
Uruguay,URY,2017,1476.244907
Uzbekistan,UZB,2017,9748.549809
Vanuatu,VUT,2017,119.696814
Venezuela,VEN,2017,5184.285434
Vietnam,VNM,2017,18136.84387
World,OWID_WRL,2017,2558606.074
Yemen,YEM,2017,6365.552514
Zambia,ZMB,2017,8979.435304
Zimbabwe,ZWE,2017,12369.6547
